0.084	1.800
0.184	1.633
0.284	1.600
0.384	1.571
0.484	1.555
0.584	1.539
0.683	1.524
0.783	1.508
0.883	1.496
0.983	1.488
1.083	1.480
1.183	1.472
1.283	1.464
1.383	1.456
1.483	1.448
1.583	1.440
1.683	1.432
1.783	1.424
1.882	1.421
1.982	1.417
2.082	1.413
2.182	1.409
2.282	1.406
2.382	1.402
2.482	1.398
2.582	1.394
2.682	1.391
2.782	1.387
2.882	1.383
2.982	1.379
3.081	1.376
3.181	1.372
3.281	1.368
3.381	1.364
3.481	1.361
3.581	1.357
3.681	1.353
3.781	1.350
3.881	1.348
3.981	1.346
4.081	1.344
4.181	1.342
4.280	1.340
4.380	1.339
4.480	1.337
4.580	1.335
4.680	1.333
4.780	1.331
4.880	1.329
4.980	1.327
5.080	1.326
5.180	1.324
5.280	1.322
5.380	1.320
5.479	1.318
5.579	1.316
5.679	1.314
5.779	1.313
5.879	1.311
5.979	1.309
6.079	1.307
6.179	1.305
6.279	1.303
6.379	1.301
6.479	1.300
6.579	1.298
6.678	1.296
6.778	1.294
6.878	1.292
6.978	1.290
7.078	1.288
7.178	1.287
7.278	1.285
7.378	1.283
7.478	1.281
7.578	1.279
7.678	1.277
7.778	1.275
7.877	1.274
7.977	1.272
8.077	1.271
8.177	1.269
8.277	1.268
8.377	1.266
8.477	1.265
8.577	1.263
8.677	1.262
8.777	1.260
8.877	1.259
8.977	1.257
9.076	1.256
9.176	1.254
9.276	1.253
9.376	1.251
9.476	1.249
9.576	1.248
9.676	1.246
9.776	1.245
9.876	1.243
9.976	1.242
10.076	1.240
10.176	1.239
10.275	1.237
10.375	1.236
10.475	1.234
10.575	1.233
10.675	1.231
10.775	1.230
10.875	1.228
10.975	1.227
11.075	1.225
11.175	1.224
11.275	1.222
11.375	1.221
11.474	1.219
11.574	1.218
11.674	1.216
11.774	1.215
11.874	1.213
11.974	1.212
12.074	1.210
12.174	1.208
12.274	1.207
12.374	1.205
12.474	1.204
12.573	1.202
12.673	1.201
12.773	1.200
12.873	1.199
12.973	1.198
13.073	1.197
13.173	1.196
13.273	1.196
13.373	1.195
13.473	1.194
13.573	1.193
13.673	1.192
13.772	1.192
13.872	1.191
13.972	1.190
14.072	1.189
14.172	1.189
14.272	1.188
14.372	1.187
14.472	1.186
14.572	1.185
14.672	1.185
14.772	1.184
14.872	1.183
14.971	1.182
15.071	1.181
15.171	1.181
15.271	1.180
15.371	1.179
15.471	1.178
15.571	1.177
15.671	1.177
15.771	1.176
15.871	1.175
15.971	1.174
16.071	1.173
16.170	1.173
16.270	1.172
16.370	1.171
16.470	1.170
16.570	1.169
16.670	1.169
16.770	1.168
16.870	1.167
16.970	1.166
17.070	1.165
17.170	1.165
17.270	1.164
17.369	1.163
17.469	1.162
17.569	1.161
17.669	1.161
17.769	1.160
17.869	1.159
17.969	1.158
18.069	1.157
18.169	1.157
18.269	1.156
18.369	1.155
